No.     Time           Source                Destination           Protocol Length Info
      1 0.000000000    192.168.0.18          192.168.0.3           TCP      74     56676 → 1234 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=422126681 TSecr=0 WS=128
      2 0.002721338    192.168.0.3           192.168.0.18          TCP      74     1234 → 56676 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=505018816 TSecr=422126681 WS=128
      3 0.002765980    192.168.0.18          192.168.0.3           TCP      66     56676 → 1234 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=422126682 TSecr=505018816
      4 0.002862240    192.168.0.18          192.168.0.3           TCP      1066   56676 → 1234 [PSH, ACK] Seq=1 Ack=1 Win=29312 Len=1000 TSval=422126682 TSecr=505018816
      5 0.002885502    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=1001 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018816
      6 0.002908731    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=2449 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018816
      7 0.002911118    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=3897 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018816
      8 0.002912419    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=5345 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018816
      9 0.002932705    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=6793 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018816
     10 0.002934317    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=8241 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018816
     11 0.002935534    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=9689 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018816
     12 0.002936808    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=11137 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018816
     13 0.002938133    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=12585 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018816
     14 0.003784139    192.168.0.3           192.168.0.18          TCP      66     1234 → 56676 [ACK] Seq=1 Ack=1001 Win=32128 Len=0 TSval=505018878 TSecr=422126682
     15 0.003816922    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=14033 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018878
     16 0.003821594    192.168.0.18          192.168.0.3           TCP      1514   56676 → 1234 [ACK] Seq=15481 Ack=1 Win=29312 Len=1448 TSval=422126682 TSecr=505018878
