No.     Time           Source                Destination           Protocol Length Info
     16 14.696319641   192.168.0.18          192.168.0.3           TCP      74     56360 → 1234 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=420982154 TSecr=0 WS=128
     17 14.696364253   192.168.0.3           192.168.0.18          TCP      74     1234 → 56360 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=503874304 TSecr=420982154 WS=128
     18 14.698009995   192.168.0.18          192.168.0.3           TCP      66     56360 → 1234 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=420982154 TSecr=503874304
     19 14.698854605   192.168.0.18          192.168.0.3           TCP      1066   56360 → 1234 [PSH, ACK] Seq=1 Ack=1 Win=29312 Len=1000 TSval=420982154 TSecr=503874304
     20 14.698876493   192.168.0.3           192.168.0.18          TCP      66     1234 → 56360 [ACK] Seq=1 Ack=1001 Win=32128 Len=0 TSval=503874351 TSecr=420982154
     21 14.698978680   192.168.0.18          192.168.0.3           TCP      1514   56360 → 1234 [ACK] Seq=1001 Ack=1 Win=29312 Len=1448 TSval=420982154 TSecr=503874304
     22 14.698989051   192.168.0.3           192.168.0.18          TCP      66     1234 → 56360 [ACK] Seq=1 Ack=2449 Win=35072 Len=0 TSval=503874351 TSecr=420982154
     23 14.699344266   192.168.0.18          192.168.0.3           TCP      2962   56360 → 1234 [ACK] Seq=2449 Ack=1 Win=29312 Len=2896 TSval=420982154 TSecr=503874304
     24 14.699373930   192.168.0.3           192.168.0.18          TCP      66     1234 → 56360 [ACK] Seq=1 Ack=5345 Win=40832 Len=0 TSval=503874351 TSecr=420982154
     25 14.699552411   192.168.0.18          192.168.0.3           TCP      1514   56360 → 1234 [ACK] Seq=5345 Ack=1 Win=29312 Len=1448 TSval=420982154 TSecr=503874304
     26 14.699564537   192.168.0.3           192.168.0.18          TCP      66     1234 → 56360 [ACK] Seq=1 Ack=6793 Win=43776 Len=0 TSval=503874351 TSecr=420982154
     27 14.700785038   192.168.0.18          192.168.0.3           TCP      3274   56360 → 1234 [FIN, PSH, ACK] Seq=6793 Ack=1 Win=29312 Len=3208 TSval=420982154 TSecr=503874304
     28 14.700813421   192.168.0.3           192.168.0.18          TCP      66     1234 → 56360 [ACK] Seq=1 Ack=10002 Win=50176 Len=0 TSval=503874352 TSecr=420982154
     29 14.700930408   192.168.0.3           192.168.0.18          TCP      66     1234 → 56360 [FIN, ACK] Seq=1 Ack=10002 Win=50176 Len=0 TSval=503874352 TSecr=420982154
     30 14.702330676   192.168.0.18          192.168.0.3           TCP      66     56360 → 1234 [ACK] Seq=10002 Ack=2 Win=29312 Len=0 TSval=420982155 TSecr=503874352
