No.     Time           Source                Destination           Protocol Length Info
      1 0.000000000    192.168.0.18          192.168.0.3           TCP      74     41026 → 23 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=421472358 TSecr=0 WS=128
      2 0.000054992    192.168.0.3           192.168.0.18          TCP      74     23 → 41026 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=504364555 TSecr=421472358 WS=128
      3 0.000631266    192.168.0.18          192.168.0.3           TCP      66     41026 → 23 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=421472359 TSecr=504364555
      4 0.001797559    192.168.0.18          192.168.0.3           TELNET   93     Telnet Data ...
      5 0.001825990    192.168.0.3           192.168.0.18          TCP      66     23 → 41026 [ACK] Seq=1 Ack=28 Win=29056 Len=0 TSval=504364555 TSecr=421472359
      8 0.007354738    192.168.0.3           192.168.0.18          TELNET   78     Telnet Data ...
      9 0.008928495    192.168.0.18          192.168.0.3           TCP      66     41026 → 23 [ACK] Seq=28 Ack=13 Win=29312 Len=0 TSval=421472361 TSecr=504364556
     10 0.008969299    192.168.0.3           192.168.0.18          TELNET   105    Telnet Data ...
     11 0.009706430    192.168.0.18          192.168.0.3           TCP      66     41026 → 23 [ACK] Seq=28 Ack=52 Win=29312 Len=0 TSval=421472361 TSecr=504364557
     12 0.009735998    192.168.0.18          192.168.0.3           TELNET   147    Telnet Data ...
     13 0.010110971    192.168.0.3           192.168.0.18          TELNET   69     Telnet Data ...
     14 0.012859200    192.168.0.18          192.168.0.3           TELNET   69     Telnet Data ...
     15 0.012938906    192.168.0.3           192.168.0.18          TELNET   69     Telnet Data ...
     16 0.014576799    192.168.0.18          192.168.0.3           TELNET   69     Telnet Data ...
     17 0.014591320    192.168.0.3           192.168.0.18          TELNET   95     Telnet Data ...
     18 0.056295922    192.168.0.18          192.168.0.3           TCP      66     41026 → 23 [ACK] Seq=115 Ack=87 Win=29312 Len=0 TSval=421472373 TSecr=504364558
     19 0.056328740    192.168.0.3           192.168.0.18          TELNET   80     Telnet Data ...
     20 0.057959648    192.168.0.18          192.168.0.3           TCP      66     41026 → 23 [ACK] Seq=115 Ack=101 Win=29312 Len=0 TSval=421472373 TSecr=504364569
     26 8.793467140    192.168.0.18          192.168.0.3           TCP      66     41026 → 23 [FIN, ACK] Seq=115 Ack=101 Win=29312 Len=0 TSval=421474557 TSecr=504364569
     27 8.793554630    192.168.0.3           192.168.0.18          TCP      66     23 → 41026 [FIN, ACK] Seq=101 Ack=116 Win=29056 Len=0 TSval=504366753 TSecr=421474557
     28 8.794034817    192.168.0.18          192.168.0.3           TCP      66     41026 → 23 [ACK] Seq=116 Ack=102 Win=29312 Len=0 TSval=421474557 TSecr=504366753
