No.     Time           Source                Destination           Protocol Length Info
     12 8.896594771    192.168.0.18          192.168.0.3           TCP      74     44962 → 1234 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3166361311 TSecr=0 WS=128
     13 8.899352754    192.168.0.3           192.168.0.18          TCP      74     1234 → 44962 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=505723968 TSecr=3166361311 WS=128
     14 8.899416269    192.168.0.18          192.168.0.3           TCP      66     44962 → 1234 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3166361311 TSecr=505723968
     15 8.899566323    192.168.0.18          192.168.0.3           TCP      1066   44962 → 1234 [PSH, ACK] Seq=1 Ack=1 Win=29312 Len=1000 TSval=3166361311 TSecr=505723968
     16 8.899600433    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=1001 Ack=1 Win=29312 Len=1448 TSval=3166361311 TSecr=505723968
     17 8.899628029    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=2449 Ack=1 Win=29312 Len=1448 TSval=3166361311 TSecr=505723968
     18 8.899656594    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=3897 Ack=1 Win=29312 Len=1448 TSval=3166361311 TSecr=505723968
     19 8.899661330    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=5345 Ack=1 Win=29312 Len=1448 TSval=3166361311 TSecr=505723968
     20 8.899663885    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=6793 Ack=1 Win=29312 Len=1448 TSval=3166361311 TSecr=505723968
     21 8.899689162    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=8241 Ack=1 Win=29312 Len=1448 TSval=3166361311 TSecr=505723968
